Home Style,Roof Material,Panel Manufacturer,Main Breaker Rating,Bus Rating,Roof Pitch (Degrees),Battery Capacity Types,DC Wire Run/Panel Ready Info,All Modules Landed Info list,Ground Rods Installed list,Electrical Equipment Hung L,AC Wire Run Complete List,DC Wire Run to Roof J-Box List,All Labels Placed List,All Strings Working List,Monitoring Set Up Tested List
Single,Cemented-Down Tile,Siemens/Murray/ITE/Gould/Crouse Hinds,225A,225A,5,N/A,Weather,Weather,Blue stake not called,No electrical lead,No electrical lead,Short laborers,No electrical lead,Ran out of daylight,No electrical lead
2 Story,Clay tile,Square D HOM,400A,200A,9,Partial Backup,Short laborers,Short laborers,,"Material shortage (disco, meter and inverter)",Pending main panel upgrade,Weather,Incorrect labels given,Time allotment on job,Time allotment on job
3 Story,Comp Shingle,Square D QO,200A,250A,14,Full House Backup,"On jobsite issues, (design, electrical)",Onsite fitment issues,,No access,"Material shortage (disco, meter, wire, breaker, fuses and inverter)",Time allotment on job,,,
Mobile,Concrete,Eaton BH/Cutler Hammer/Westinghouse,300A,150A,18,,Material shortage,Material shortage,,,,,,,
Condo/Townhome,Corrugated Metal,Eaton BR/Challenger/Bryant,175A,125A,22,,,,,,,,,,
,Elastomeric,General Electric/Milbank/Unicorn,250A,100A,26,,,,,,,,,,
,Flat Tile,Zinsco/Sylvania,150A,No Label,30,,,,,,,,,,
,Foam,Federal Pacific,125A,400A,33,,,,,,,,,,
,Gravel,Not accessible,100A,Unable To Determine,37,,,,,,,,,,
,Metal Tile,,No Main Breaker,,40,,,,,,,,,,
,Not Applicable (No modules on the roof),,Unable To Determine,,42.5,,,,,,,,,,
,Rolled Asphalt,,,,45,,,,,,,,,,
,S-Tile,,,,Not Applicable (No modules on the roof),,,,,,,,,,
,Standing Seam Metal,,,,Unable To Determine,,,,,,,,,,
,TPO,,,,,,,,,,,,,,
,Unable To Determine,,,,,,,,,,,,,,
,W-Tile,,,,,,,,,,,,,,
,Wood shake,,,,,,,,,,,,,,
